item_group_id,id,title,description,link,condition,mobile_link,price,sale_price,availability,description_html,image_link,additional_image_link,google_product_category,shipping_weight,brand,gender,age_group,product_type,size_type,size,size_system,colour,material,free_shipping_label,free_shipping_limit,shipping,custom_label_0,custom_label_1,custom_label_2,custom_label_3,custom_label_4,variant_names,variant_values,average_review_rating,number_of_ratings,"number_of_reviews	",gtin,mpn,alt_text,pattern,shipping_height
Wedding Dresses,715717-1,Modest Long Sleeve Satin Mormon/Lds Modern Sheath Bridal Gown Scoop Court Train Wedding Dress,"The dress is made-to-order by professional tailors. You can choose from 5 colors, regular sizes 2 to 16 and plus sizes 16w to 26W. Customization service is also available according to your special requirement. Silhouette: Sheath, Hemline/Train: Floor-length/Court Train, Neckline: Scoop, Back Style: Button , Sleeve Length: Long Sleeve, Sleeve Style: T-shirt, Fabric: Satin, Net Weight (kg): 1.5, Shipping Weight (kg): 2, Season: Spring,Fall,Winter, Embellishments: Ruching, Style: Simple,Modest,Elegant, Occasion: Country,Garden,Court",https://ms-grace.myshopify.com/products/Modest-Long-Sleeve-Satin-Mormon-Lds-Modern-Sheath-Bridal-Gown-Scoop-Court-Train-Wedding-Dress,new,,179.99 USD,179.99 USD,preorder,"<style><!--
tr:nth-child(even) {
  background-color: #D6EEEE;
  }
--></style>
Specifications
<table >
<tbody>
<tr></tr>
<tr>
<td >Silhouette</td>
<td >Sheath</td>
</tr>
<tr>
<td >Hemline/Train</td>
<td >Floor-length, Court Train</td>
</tr>
<tr>
<td >Back Style</td>
<td >Button </td>
</tr>
<tr>
<td >Neckline</td>
<td >Scoop</td>
</tr>
<tr>
<td >Sleeve Length</td>
<td >Long Sleeve</td>
</tr>
<tr>
<td >Fabric</td>
<td >Satin</td>
</tr>
<tr>
<td >Embellishments</td>
<td >Ruching",https://img.dorriswedding.com/image/390x560/90/0/864a4ab76b00e443/3d35e9bcde6eaf2a741cae709daadd17.jpg,"https://img.dorriswedding.com/image/390x560/90/0/a2c63fede7e86845/835ef49ed1b643fb61eff15497e0031b.jpg, https://img.dorriswedding.com/image/390x560/90/0/ab1f791c80cb98d9/a4f15af6936be77c982d77a277389019.jpg, https://img.dorriswedding.com/image/390x560/90/0/528e078555700b25/a416d6c3eb2aae29008a61a75fd78bdb.jpg",Apparel & Accessories > Clothing > Wedding & Bridal Party Dresses > Wedding Dresses,1.5 kg,Ms. Grace,female,adult,Home > Women > Dresses > Wedding Dresses,regular,2,US,white,Satin,TRUE,159 USD,NZ::Expedited:0 USD,Wedding Dresses,715717,,,,,,,,,,,,,
Wedding Dresses,715717-2,Modest Long Sleeve Satin Mormon/Lds Modern Sheath Bridal Gown Scoop Court Train Wedding Dress,"The dress is made-to-order by professional tailors. You can choose from 5 colors, regular sizes 2 to 16 and plus sizes 16w to 26W. Customization service is also available according to your special requirement. Silhouette: Sheath, Hemline/Train: Floor-length/Court Train, Neckline: Scoop, Back Style: Button , Sleeve Length: Long Sleeve, Sleeve Style: T-shirt, Fabric: Satin, Net Weight (kg): 1.5, Shipping Weight (kg): 2, Season: Spring,Fall,Winter, Embellishments: Ruching, Style: Simple,Modest,Elegant, Occasion: Country,Garden,Court",https://ms-grace.myshopify.com/products/Modest-Long-Sleeve-Satin-Mormon-Lds-Modern-Sheath-Bridal-Gown-Scoop-Court-Train-Wedding-Dress,new,,179.99 USD,179.99 USD,preorder,"<style><!--
tr:nth-child(even) {
  background-color: #D6EEEE;
  }
--></style>
Specifications
<table >
<tbody>
<tr></tr>
<tr>
<td >Silhouette</td>
<td >Sheath</td>
</tr>
<tr>
<td >Hemline/Train</td>
<td >Floor-length, Court Train</td>
</tr>
<tr>
<td >Back Style</td>
<td >Button </td>
</tr>
<tr>
<td >Neckline</td>
<td >Scoop</td>
</tr>
<tr>
<td >Sleeve Length</td>
<td >Long Sleeve</td>
</tr>
<tr>
<td >Fabric</td>
<td >Satin</td>
</tr>
<tr>
<td >Embellishments</td>
<td >Ruching",https://img.dorriswedding.com/image/390x560/90/0/864a4ab76b00e443/3d35e9bcde6eaf2a741cae709daadd17.jpg,"https://img.dorriswedding.com/image/390x560/90/0/a2c63fede7e86845/835ef49ed1b643fb61eff15497e0031b.jpg, https://img.dorriswedding.com/image/390x560/90/0/ab1f791c80cb98d9/a4f15af6936be77c982d77a277389019.jpg, https://img.dorriswedding.com/image/390x560/90/0/528e078555700b25/a416d6c3eb2aae29008a61a75fd78bdb.jpg",Apparel & Accessories > Clothing > Wedding & Bridal Party Dresses > Wedding Dresses,1.5 kg,Ms. Grace,female,adult,Home > Women > Dresses > Wedding Dresses,regular,4,US,white,Satin,TRUE,159 USD,NZ::Expedited:0 USD,Wedding Dresses,715717,,,,,,,,,,,,,
Wedding Dresses,715717-3,Modest Long Sleeve Satin Mormon/Lds Modern Sheath Bridal Gown Scoop Court Train Wedding Dress,"The dress is made-to-order by professional tailors. You can choose from 5 colors, regular sizes 2 to 16 and plus sizes 16w to 26W. Customization service is also available according to your special requirement. Silhouette: Sheath, Hemline/Train: Floor-length/Court Train, Neckline: Scoop, Back Style: Button , Sleeve Length: Long Sleeve, Sleeve Style: T-shirt, Fabric: Satin, Net Weight (kg): 1.5, Shipping Weight (kg): 2, Season: Spring,Fall,Winter, Embellishments: Ruching, Style: Simple,Modest,Elegant, Occasion: Country,Garden,Court",https://ms-grace.myshopify.com/products/Modest-Long-Sleeve-Satin-Mormon-Lds-Modern-Sheath-Bridal-Gown-Scoop-Court-Train-Wedding-Dress,new,,179.99 USD,179.99 USD,preorder,"<style><!--
tr:nth-child(even) {
  background-color: #D6EEEE;
  }
--></style>
Specifications
<table >
<tbody>
<tr></tr>
<tr>
<td >Silhouette</td>
<td >Sheath</td>
</tr>
<tr>
<td >Hemline/Train</td>
<td >Floor-length, Court Train</td>
</tr>
<tr>
<td >Back Style</td>
<td >Button </td>
</tr>
<tr>
<td >Neckline</td>
<td >Scoop</td>
</tr>
<tr>
<td >Sleeve Length</td>
<td >Long Sleeve</td>
</tr>
<tr>
<td >Fabric</td>
<td >Satin</td>
</tr>
<tr>
<td >Embellishments</td>
<td >Ruching",https://img.dorriswedding.com/image/390x560/90/0/864a4ab76b00e443/3d35e9bcde6eaf2a741cae709daadd17.jpg,"https://img.dorriswedding.com/image/390x560/90/0/a2c63fede7e86845/835ef49ed1b643fb61eff15497e0031b.jpg, https://img.dorriswedding.com/image/390x560/90/0/ab1f791c80cb98d9/a4f15af6936be77c982d77a277389019.jpg, https://img.dorriswedding.com/image/390x560/90/0/528e078555700b25/a416d6c3eb2aae29008a61a75fd78bdb.jpg",Apparel & Accessories > Clothing > Wedding & Bridal Party Dresses > Wedding Dresses,1.5 kg,Ms. Grace,female,adult,Home > Women > Dresses > Wedding Dresses,regular,6,US,white,Satin,TRUE,159 USD,NZ::Expedited:0 USD,Wedding Dresses,715717,,,,,,,,,,,,,
Wedding Dresses,715717-4,Modest Long Sleeve Satin Mormon/Lds Modern Sheath Bridal Gown Scoop Court Train Wedding Dress,"The dress is made-to-order by professional tailors. You can choose from 5 colors, regular sizes 2 to 16 and plus sizes 16w to 26W. Customization service is also available according to your special requirement. Silhouette: Sheath, Hemline/Train: Floor-length/Court Train, Neckline: Scoop, Back Style: Button , Sleeve Length: Long Sleeve, Sleeve Style: T-shirt, Fabric: Satin, Net Weight (kg): 1.5, Shipping Weight (kg): 2, Season: Spring,Fall,Winter, Embellishments: Ruching, Style: Simple,Modest,Elegant, Occasion: Country,Garden,Court",https://ms-grace.myshopify.com/products/Modest-Long-Sleeve-Satin-Mormon-Lds-Modern-Sheath-Bridal-Gown-Scoop-Court-Train-Wedding-Dress,new,,179.99 USD,179.99 USD,preorder,"<style><!--
tr:nth-child(even) {
  background-color: #D6EEEE;
  }
--></style>
Specifications
<table >
<tbody>
<tr></tr>
<tr>
<td >Silhouette</td>
<td >Sheath</td>
</tr>
<tr>
<td >Hemline/Train</td>
<td >Floor-length, Court Train</td>
</tr>
<tr>
<td >Back Style</td>
<td >Button </td>
</tr>
<tr>
<td >Neckline</td>
<td >Scoop</td>
</tr>
<tr>
<td >Sleeve Length</td>
<td >Long Sleeve</td>
</tr>
<tr>
<td >Fabric</td>
<td >Satin</td>
</tr>
<tr>
<td >Embellishments</td>
<td >Ruching",https://img.dorriswedding.com/image/390x560/90/0/864a4ab76b00e443/3d35e9bcde6eaf2a741cae709daadd17.jpg,"https://img.dorriswedding.com/image/390x560/90/0/a2c63fede7e86845/835ef49ed1b643fb61eff15497e0031b.jpg, https://img.dorriswedding.com/image/390x560/90/0/ab1f791c80cb98d9/a4f15af6936be77c982d77a277389019.jpg, https://img.dorriswedding.com/image/390x560/90/0/528e078555700b25/a416d6c3eb2aae29008a61a75fd78bdb.jpg",Apparel & Accessories > Clothing > Wedding & Bridal Party Dresses > Wedding Dresses,1.5 kg,Ms. Grace,female,adult,Home > Women > Dresses > Wedding Dresses,regular,8,US,white,Satin,TRUE,159 USD,NZ::Expedited:0 USD,Wedding Dresses,715717,,,,,,,,,,,,,
Wedding Dresses,715717-5,Modest Long Sleeve Satin Mormon/Lds Modern Sheath Bridal Gown Scoop Court Train Wedding Dress,"The dress is made-to-order by professional tailors. You can choose from 5 colors, regular sizes 2 to 16 and plus sizes 16w to 26W. Customization service is also available according to your special requirement. Silhouette: Sheath, Hemline/Train: Floor-length/Court Train, Neckline: Scoop, Back Style: Button , Sleeve Length: Long Sleeve, Sleeve Style: T-shirt, Fabric: Satin, Net Weight (kg): 1.5, Shipping Weight (kg): 2, Season: Spring,Fall,Winter, Embellishments: Ruching, Style: Simple,Modest,Elegant, Occasion: Country,Garden,Court",https://ms-grace.myshopify.com/products/Modest-Long-Sleeve-Satin-Mormon-Lds-Modern-Sheath-Bridal-Gown-Scoop-Court-Train-Wedding-Dress,new,,179.99 USD,179.99 USD,preorder,"<style><!--
tr:nth-child(even) {
  background-color: #D6EEEE;
  }
--></style>
Specifications
<table >
<tbody>
<tr></tr>
<tr>
<td >Silhouette</td>
<td >Sheath</td>
</tr>
<tr>
<td >Hemline/Train</td>
<td >Floor-length, Court Train</td>
</tr>
<tr>
<td >Back Style</td>
<td >Button </td>
</tr>
<tr>
<td >Neckline</td>
<td >Scoop</td>
</tr>
<tr>
<td >Sleeve Length</td>
<td >Long Sleeve</td>
</tr>
<tr>
<td >Fabric</td>
<td >Satin</td>
</tr>
<tr>
<td >Embellishments</td>
<td >Ruching",https://img.dorriswedding.com/image/390x560/90/0/864a4ab76b00e443/3d35e9bcde6eaf2a741cae709daadd17.jpg,"https://img.dorriswedding.com/image/390x560/90/0/a2c63fede7e86845/835ef49ed1b643fb61eff15497e0031b.jpg, https://img.dorriswedding.com/image/390x560/90/0/ab1f791c80cb98d9/a4f15af6936be77c982d77a277389019.jpg, https://img.dorriswedding.com/image/390x560/90/0/528e078555700b25/a416d6c3eb2aae29008a61a75fd78bdb.jpg",Apparel & Accessories > Clothing > Wedding & Bridal Party Dresses > Wedding Dresses,1.5 kg,Ms. Grace,female,adult,Home > Women > Dresses > Wedding Dresses,regular,10,US,white,Satin,TRUE,159 USD,NZ::Expedited:0 USD,Wedding Dresses,715717,,,,,,,,,,,,,
Wedding Dresses,715717-6,Modest Long Sleeve Satin Mormon/Lds Modern Sheath Bridal Gown Scoop Court Train Wedding Dress,"The dress is made-to-order by professional tailors. You can choose from 5 colors, regular sizes 2 to 16 and plus sizes 16w to 26W. Customization service is also available according to your special requirement. Silhouette: Sheath, Hemline/Train: Floor-length/Court Train, Neckline: Scoop, Back Style: Button , Sleeve Length: Long Sleeve, Sleeve Style: T-shirt, Fabric: Satin, Net Weight (kg): 1.5, Shipping Weight (kg): 2, Season: Spring,Fall,Winter, Embellishments: Ruching, Style: Simple,Modest,Elegant, Occasion: Country,Garden,Court",https://ms-grace.myshopify.com/products/Modest-Long-Sleeve-Satin-Mormon-Lds-Modern-Sheath-Bridal-Gown-Scoop-Court-Train-Wedding-Dress,new,,179.99 USD,179.99 USD,preorder,"<style><!--
tr:nth-child(even) {
  background-color: #D6EEEE;
  }
--></style>
Specifications
<table >
<tbody>
<tr></tr>
<tr>
<td >Silhouette</td>
<td >Sheath</td>
</tr>
<tr>
<td >Hemline/Train</td>
<td >Floor-length, Court Train</td>
</tr>
<tr>
<td >Back Style</td>
<td >Button </td>
</tr>
<tr>
<td >Neckline</td>
<td >Scoop</td>
</tr>
<tr>
<td >Sleeve Length</td>
<td >Long Sleeve</td>
</tr>
<tr>
<td >Fabric</td>
<td >Satin</td>
</tr>
<tr>
<td >Embellishments</td>
<td >Ruching",https://img.dorriswedding.com/image/390x560/90/0/864a4ab76b00e443/3d35e9bcde6eaf2a741cae709daadd17.jpg,"https://img.dorriswedding.com/image/390x560/90/0/a2c63fede7e86845/835ef49ed1b643fb61eff15497e0031b.jpg, https://img.dorriswedding.com/image/390x560/90/0/ab1f791c80cb98d9/a4f15af6936be77c982d77a277389019.jpg, https://img.dorriswedding.com/image/390x560/90/0/528e078555700b25/a416d6c3eb2aae29008a61a75fd78bdb.jpg",Apparel & Accessories > Clothing > Wedding & Bridal Party Dresses > Wedding Dresses,1.5 kg,Ms. Grace,female,adult,Home > Women > Dresses > Wedding Dresses,regular,12,US,white,Satin,TRUE,159 USD,NZ::Expedited:0 USD,Wedding Dresses,715717,,,,,,,,,,,,,
Wedding Dresses,715717-7,Modest Long Sleeve Satin Mormon/Lds Modern Sheath Bridal Gown Scoop Court Train Wedding Dress,"The dress is made-to-order by professional tailors. You can choose from 5 colors, regular sizes 2 to 16 and plus sizes 16w to 26W. Customization service is also available according to your special requirement. Silhouette: Sheath, Hemline/Train: Floor-length/Court Train, Neckline: Scoop, Back Style: Button , Sleeve Length: Long Sleeve, Sleeve Style: T-shirt, Fabric: Satin, Net Weight (kg): 1.5, Shipping Weight (kg): 2, Season: Spring,Fall,Winter, Embellishments: Ruching, Style: Simple,Modest,Elegant, Occasion: Country,Garden,Court",https://ms-grace.myshopify.com/products/Modest-Long-Sleeve-Satin-Mormon-Lds-Modern-Sheath-Bridal-Gown-Scoop-Court-Train-Wedding-Dress,new,,179.99 USD,179.99 USD,preorder,"<style><!--
tr:nth-child(even) {
  background-color: #D6EEEE;
  }
--></style>
Specifications
<table >
<tbody>
<tr></tr>
<tr>
<td >Silhouette</td>
<td >Sheath</td>
</tr>
<tr>
<td >Hemline/Train</td>
<td >Floor-length, Court Train</td>
</tr>
<tr>
<td >Back Style</td>
<td >Button </td>
</tr>
<tr>
<td >Neckline</td>
<td >Scoop</td>
</tr>
<tr>
<td >Sleeve Length</td>
<td >Long Sleeve</td>
</tr>
<tr>
<td >Fabric</td>
<td >Satin</td>
</tr>
<tr>
<td >Embellishments</td>
<td >Ruching",https://img.dorriswedding.com/image/390x560/90/0/864a4ab76b00e443/3d35e9bcde6eaf2a741cae709daadd17.jpg,"https://img.dorriswedding.com/image/390x560/90/0/a2c63fede7e86845/835ef49ed1b643fb61eff15497e0031b.jpg, https://img.dorriswedding.com/image/390x560/90/0/ab1f791c80cb98d9/a4f15af6936be77c982d77a277389019.jpg, https://img.dorriswedding.com/image/390x560/90/0/528e078555700b25/a416d6c3eb2aae29008a61a75fd78bdb.jpg",Apparel & Accessories > Clothing > Wedding & Bridal Party Dresses > Wedding Dresses,1.5 kg,Ms. Grace,female,adult,Home > Women > Dresses > Wedding Dresses,regular,14,US,white,Satin,TRUE,159 USD,NZ::Expedited:0 USD,Wedding Dresses,715717,,,,,,,,,,,,,
Wedding Dresses,715717-8,Modest Long Sleeve Satin Mormon/Lds Modern Sheath Bridal Gown Scoop Court Train Wedding Dress,"The dress is made-to-order by professional tailors. You can choose from 5 colors, regular sizes 2 to 16 and plus sizes 16w to 26W. Customization service is also available according to your special requirement. Silhouette: Sheath, Hemline/Train: Floor-length/Court Train, Neckline: Scoop, Back Style: Button , Sleeve Length: Long Sleeve, Sleeve Style: T-shirt, Fabric: Satin, Net Weight (kg): 1.5, Shipping Weight (kg): 2, Season: Spring,Fall,Winter, Embellishments: Ruching, Style: Simple,Modest,Elegant, Occasion: Country,Garden,Court",https://ms-grace.myshopify.com/products/Modest-Long-Sleeve-Satin-Mormon-Lds-Modern-Sheath-Bridal-Gown-Scoop-Court-Train-Wedding-Dress,new,,179.99 USD,179.99 USD,preorder,"<style><!--
tr:nth-child(even) {
  background-color: #D6EEEE;
  }
--></style>
Specifications
<table >
<tbody>
<tr></tr>
<tr>
<td >Silhouette</td>
<td >Sheath</td>
</tr>
<tr>
<td >Hemline/Train</td>
<td >Floor-length, Court Train</td>
</tr>
<tr>
<td >Back Style</td>
<td >Button </td>
</tr>
<tr>
<td >Neckline</td>
<td >Scoop</td>
</tr>
<tr>
<td >Sleeve Length</td>
<td >Long Sleeve</td>
</tr>
<tr>
<td >Fabric</td>
<td >Satin</td>
</tr>
<tr>
<td >Embellishments</td>
<td >Ruching",https://img.dorriswedding.com/image/390x560/90/0/864a4ab76b00e443/3d35e9bcde6eaf2a741cae709daadd17.jpg,"https://img.dorriswedding.com/image/390x560/90/0/a2c63fede7e86845/835ef49ed1b643fb61eff15497e0031b.jpg, https://img.dorriswedding.com/image/390x560/90/0/ab1f791c80cb98d9/a4f15af6936be77c982d77a277389019.jpg, https://img.dorriswedding.com/image/390x560/90/0/528e078555700b25/a416d6c3eb2aae29008a61a75fd78bdb.jpg",Apparel & Accessories > Clothing > Wedding & Bridal Party Dresses > Wedding Dresses,1.5 kg,Ms. Grace,female,adult,Home > Women > Dresses > Wedding Dresses,regular,16,US,white,Satin,TRUE,159 USD,NZ::Expedited:0 USD,Wedding Dresses,715717,,,,,,,,,,,,,
Wedding Dresses,715717-9,Modest Long Sleeve Satin Mormon/Lds Modern Sheath Bridal Gown Scoop Court Train Wedding Dress,"The dress is made-to-order by professional tailors. You can choose from 5 colors, regular sizes 2 to 16 and plus sizes 16w to 26W. Customization service is also available according to your special requirement. Silhouette: Sheath, Hemline/Train: Floor-length/Court Train, Neckline: Scoop, Back Style: Button , Sleeve Length: Long Sleeve, Sleeve Style: T-shirt, Fabric: Satin, Net Weight (kg): 1.5, Shipping Weight (kg): 2, Season: Spring,Fall,Winter, Embellishments: Ruching, Style: Simple,Modest,Elegant, Occasion: Country,Garden,Court",https://ms-grace.myshopify.com/products/Modest-Long-Sleeve-Satin-Mormon-Lds-Modern-Sheath-Bridal-Gown-Scoop-Court-Train-Wedding-Dress,new,,179.99 USD,179.99 USD,preorder,"<style><!--
tr:nth-child(even) {
  background-color: #D6EEEE;
  }
--></style>
Specifications
<table >
<tbody>
<tr></tr>
<tr>
<td >Silhouette</td>
<td >Sheath</td>
</tr>
<tr>
<td >Hemline/Train</td>
<td >Floor-length, Court Train</td>
</tr>
<tr>
<td >Back Style</td>
<td >Button </td>
</tr>
<tr>
<td >Neckline</td>
<td >Scoop</td>
</tr>
<tr>
<td >Sleeve Length</td>
<td >Long Sleeve</td>
</tr>
<tr>
<td >Fabric</td>
<td >Satin</td>
</tr>
<tr>
<td >Embellishments</td>
<td >Ruching",https://img.dorriswedding.com/image/390x560/90/0/864a4ab76b00e443/3d35e9bcde6eaf2a741cae709daadd17.jpg,"https://img.dorriswedding.com/image/390x560/90/0/a2c63fede7e86845/835ef49ed1b643fb61eff15497e0031b.jpg, https://img.dorriswedding.com/image/390x560/90/0/ab1f791c80cb98d9/a4f15af6936be77c982d77a277389019.jpg, https://img.dorriswedding.com/image/390x560/90/0/528e078555700b25/a416d6c3eb2aae29008a61a75fd78bdb.jpg",Apparel & Accessories > Clothing > Wedding & Bridal Party Dresses > Wedding Dresses,1.5 kg,Ms. Grace,female,adult,Home > Women > Dresses > Wedding Dresses,plus,16W,US,white,Satin,TRUE,159 USD,NZ::Expedited:0 USD,Wedding Dresses,715717,,,,,,,,,,,,,
Wedding Dresses,715717-10,Modest Long Sleeve Satin Mormon/Lds Modern Sheath Bridal Gown Scoop Court Train Wedding Dress,"The dress is made-to-order by professional tailors. You can choose from 5 colors, regular sizes 2 to 16 and plus sizes 16w to 26W. Customization service is also available according to your special requirement. Silhouette: Sheath, Hemline/Train: Floor-length/Court Train, Neckline: Scoop, Back Style: Button , Sleeve Length: Long Sleeve, Sleeve Style: T-shirt, Fabric: Satin, Net Weight (kg): 1.5, Shipping Weight (kg): 2, Season: Spring,Fall,Winter, Embellishments: Ruching, Style: Simple,Modest,Elegant, Occasion: Country,Garden,Court",https://ms-grace.myshopify.com/products/Modest-Long-Sleeve-Satin-Mormon-Lds-Modern-Sheath-Bridal-Gown-Scoop-Court-Train-Wedding-Dress,new,,179.99 USD,179.99 USD,preorder,"<style><!--
tr:nth-child(even) {
  background-color: #D6EEEE;
  }
--></style>
Specifications
<table >
<tbody>
<tr></tr>
<tr>
<td >Silhouette</td>
<td >Sheath</td>
</tr>
<tr>
<td >Hemline/Train</td>
<td >Floor-length, Court Train</td>
</tr>
<tr>
<td >Back Style</td>
<td >Button </td>
</tr>
<tr>
<td >Neckline</td>
<td >Scoop</td>
</tr>
<tr>
<td >Sleeve Length</td>
<td >Long Sleeve</td>
</tr>
<tr>
<td >Fabric</td>
<td >Satin</td>
</tr>
<tr>
<td >Embellishments</td>
<td >Ruching",https://img.dorriswedding.com/image/390x560/90/0/864a4ab76b00e443/3d35e9bcde6eaf2a741cae709daadd17.jpg,"https://img.dorriswedding.com/image/390x560/90/0/a2c63fede7e86845/835ef49ed1b643fb61eff15497e0031b.jpg, https://img.dorriswedding.com/image/390x560/90/0/ab1f791c80cb98d9/a4f15af6936be77c982d77a277389019.jpg, https://img.dorriswedding.com/image/390x560/90/0/528e078555700b25/a416d6c3eb2aae29008a61a75fd78bdb.jpg",Apparel & Accessories > Clothing > Wedding & Bridal Party Dresses > Wedding Dresses,1.5 kg,Ms. Grace,female,adult,Home > Women > Dresses > Wedding Dresses,plus,18W,US,white,Satin,TRUE,159 USD,NZ::Expedited:0 USD,Wedding Dresses,715717,,,,,,,,,,,,,
Wedding Dresses,715717-11,Modest Long Sleeve Satin Mormon/Lds Modern Sheath Bridal Gown Scoop Court Train Wedding Dress,"The dress is made-to-order by professional tailors. You can choose from 5 colors, regular sizes 2 to 16 and plus sizes 16w to 26W. Customization service is also available according to your special requirement. Silhouette: Sheath, Hemline/Train: Floor-length/Court Train, Neckline: Scoop, Back Style: Button , Sleeve Length: Long Sleeve, Sleeve Style: T-shirt, Fabric: Satin, Net Weight (kg): 1.5, Shipping Weight (kg): 2, Season: Spring,Fall,Winter, Embellishments: Ruching, Style: Simple,Modest,Elegant, Occasion: Country,Garden,Court",https://ms-grace.myshopify.com/products/Modest-Long-Sleeve-Satin-Mormon-Lds-Modern-Sheath-Bridal-Gown-Scoop-Court-Train-Wedding-Dress,new,,179.99 USD,179.99 USD,preorder,"<style><!--
tr:nth-child(even) {
  background-color: #D6EEEE;
  }
--></style>
Specifications
<table >
<tbody>
<tr></tr>
<tr>
<td >Silhouette</td>
<td >Sheath</td>
</tr>
<tr>
<td >Hemline/Train</td>
<td >Floor-length, Court Train</td>
</tr>
<tr>
<td >Back Style</td>
<td >Button </td>
</tr>
<tr>
<td >Neckline</td>
<td >Scoop</td>
</tr>
<tr>
<td >Sleeve Length</td>
<td >Long Sleeve</td>
</tr>
<tr>
<td >Fabric</td>
<td >Satin</td>
</tr>
<tr>
<td >Embellishments</td>
<td >Ruching",https://img.dorriswedding.com/image/390x560/90/0/864a4ab76b00e443/3d35e9bcde6eaf2a741cae709daadd17.jpg,"https://img.dorriswedding.com/image/390x560/90/0/a2c63fede7e86845/835ef49ed1b643fb61eff15497e0031b.jpg, https://img.dorriswedding.com/image/390x560/90/0/ab1f791c80cb98d9/a4f15af6936be77c982d77a277389019.jpg, https://img.dorriswedding.com/image/390x560/90/0/528e078555700b25/a416d6c3eb2aae29008a61a75fd78bdb.jpg",Apparel & Accessories > Clothing > Wedding & Bridal Party Dresses > Wedding Dresses,1.5 kg,Ms. Grace,female,adult,Home > Women > Dresses > Wedding Dresses,plus,20W,US,white,Satin,TRUE,159 USD,NZ::Expedited:0 USD,Wedding Dresses,715717,,,,,,,,,,,,,
Wedding Dresses,715717-12,Modest Long Sleeve Satin Mormon/Lds Modern Sheath Bridal Gown Scoop Court Train Wedding Dress,"The dress is made-to-order by professional tailors. You can choose from 5 colors, regular sizes 2 to 16 and plus sizes 16w to 26W. Customization service is also available according to your special requirement. Silhouette: Sheath, Hemline/Train: Floor-length/Court Train, Neckline: Scoop, Back Style: Button , Sleeve Length: Long Sleeve, Sleeve Style: T-shirt, Fabric: Satin, Net Weight (kg): 1.5, Shipping Weight (kg): 2, Season: Spring,Fall,Winter, Embellishments: Ruching, Style: Simple,Modest,Elegant, Occasion: Country,Garden,Court",https://ms-grace.myshopify.com/products/Modest-Long-Sleeve-Satin-Mormon-Lds-Modern-Sheath-Bridal-Gown-Scoop-Court-Train-Wedding-Dress,new,,179.99 USD,179.99 USD,preorder,"<style><!--
tr:nth-child(even) {
  background-color: #D6EEEE;
  }
--></style>
Specifications
<table >
<tbody>
<tr></tr>
<tr>
<td >Silhouette</td>
<td >Sheath</td>
</tr>
<tr>
<td >Hemline/Train</td>
<td >Floor-length, Court Train</td>
</tr>
<tr>
<td >Back Style</td>
<td >Button </td>
</tr>
<tr>
<td >Neckline</td>
<td >Scoop</td>
</tr>
<tr>
<td >Sleeve Length</td>
<td >Long Sleeve</td>
</tr>
<tr>
<td >Fabric</td>
<td >Satin</td>
</tr>
<tr>
<td >Embellishments</td>
<td >Ruching",https://img.dorriswedding.com/image/390x560/90/0/864a4ab76b00e443/3d35e9bcde6eaf2a741cae709daadd17.jpg,"https://img.dorriswedding.com/image/390x560/90/0/a2c63fede7e86845/835ef49ed1b643fb61eff15497e0031b.jpg, https://img.dorriswedding.com/image/390x560/90/0/ab1f791c80cb98d9/a4f15af6936be77c982d77a277389019.jpg, https://img.dorriswedding.com/image/390x560/90/0/528e078555700b25/a416d6c3eb2aae29008a61a75fd78bdb.jpg",Apparel & Accessories > Clothing > Wedding & Bridal Party Dresses > Wedding Dresses,1.5 kg,Ms. Grace,female,adult,Home > Women > Dresses > Wedding Dresses,plus,22W,US,white,Satin,TRUE,159 USD,NZ::Expedited:0 USD,Wedding Dresses,715717,,,,,,,,,,,,,
